epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,748.878,2.00233,4.04757,1.8384,0.39093,0.2508,0.21863,0.10263,1.59882,2.64739,1.47278,0.00333263,0.00333263,0.00333263
2,1432.89,1.98033,2.89158,1.77747,0.39259,0.2198,0.1888,0.084,1.62457,2.79336,1.52276,0.00653398,0.00653398,0.00653398
